SiteCode,ItemCode,InventoryDate,QuantityOnHand,OnOrderQty,InventoryStatus
Store_001,potato_chips,2024-01-07,490,0,Available
Store_001,tortilla_chips,2024-01-07,279,0,Available
Store_001,popcorn,2024-01-07,455,0,Available
Store_001,nuts_trail_mix,2024-01-07,517,0,Available
Store_001,cookies,2024-01-07,219,0,Available
Store_001,chocolates,2024-01-07,348,0,Available
Store_001,carbonated_soft_drinks,2024-01-07,247,735,Available
Store_001,bottled_water,2024-01-07,418,0,Available
Store_001,fruit_juices,2024-01-07,145,524,Available
Store_001,energy_drinks,2024-01-07,243,0,Available
Store_001,sports_drinks,2024-01-07,141,520,Available
Store_001,tea_rtd,2024-01-07,352,0,Available
Store_001,coffee_rtd,2024-01-07,427,0,Available
Store_002,potato_chips,2024-01-07,527,0,Available
Store_002,tortilla_chips,2024-01-07,299,0,Available
Store_002,popcorn,2024-01-07,442,0,Available
Store_002,nuts_trail_mix,2024-01-07,521,0,Available
Store_002,cookies,2024-01-07,197,0,Available
Store_002,chocolates,2024-01-07,358,0,Available
Store_002,carbonated_soft_drinks,2024-01-07,0,562,Zero
Store_002,bottled_water,2024-01-07,479,0,Available
Store_002,fruit_juices,2024-01-07,119,528,Available
Store_002,energy_drinks,2024-01-07,283,0,Available
Store_002,sports_drinks,2024-01-07,150,515,Available
Store_002,tea_rtd,2024-01-07,374,0,Available
Store_002,coffee_rtd,2024-01-07,402,0,Available
Store_003,potato_chips,2024-01-07,54,580,Available
Store_003,tortilla_chips,2024-01-07,273,0,Available
Store_003,popcorn,2024-01-07,439,0,Available
Store_003,nuts_trail_mix,2024-01-07,542,0,Available
Store_003,cookies,2024-01-07,183,496,Available
Store_003,chocolates,2024-01-07,331,0,Available
Store_003,carbonated_soft_drinks,2024-01-07,429,0,Available
Store_003,bottled_water,2024-01-07,410,0,Available
Store_003,fruit_juices,2024-01-07,136,524,Available
Store_003,energy_drinks,2024-01-07,254,0,Available
Store_003,sports_drinks,2024-01-07,179,491,Available
Store_003,tea_rtd,2024-01-07,364,0,Available
Store_003,coffee_rtd,2024-01-07,415,0,Available
Store_004,potato_chips,2024-01-07,486,0,Available
Store_004,tortilla_chips,2024-01-07,303,0,Available
Store_004,popcorn,2024-01-07,441,0,Available
Store_004,nuts_trail_mix,2024-01-07,542,0,Available
Store_004,cookies,2024-01-07,207,0,Available
Store_004,chocolates,2024-01-07,339,0,Available
Store_004,carbonated_soft_drinks,2024-01-07,241,752,Available
Store_004,bottled_water,2024-01-07,458,0,Available
Store_004,fruit_juices,2024-01-07,121,537,Available
Store_004,energy_drinks,2024-01-07,227,0,Available
Store_004,sports_drinks,2024-01-07,179,504,Available
Store_004,tea_rtd,2024-01-07,366,0,Available
Store_004,coffee_rtd,2024-01-07,409,0,Available
Store_005,potato_chips,2024-01-07,66,563,Available
Store_005,tortilla_chips,2024-01-07,267,0,Available
Store_005,popcorn,2024-01-07,437,0,Available
Store_005,nuts_trail_mix,2024-01-07,530,0,Available
Store_005,cookies,2024-01-07,225,0,Available
Store_005,chocolates,2024-01-07,323,0,Available
Store_005,carbonated_soft_drinks,2024-01-07,318,0,Available
Store_005,bottled_water,2024-01-07,433,0,Available
Store_005,fruit_juices,2024-01-07,110,538,Available
Store_005,energy_drinks,2024-01-07,252,0,Available
Store_005,sports_drinks,2024-01-07,177,502,Available
Store_005,tea_rtd,2024-01-07,377,0,Available
Store_005,coffee_rtd,2024-01-07,394,0,Available
Store_006,potato_chips,2024-01-07,82,554,Available
Store_006,tortilla_chips,2024-01-07,264,0,Available
Store_006,popcorn,2024-01-07,460,0,Available
Store_006,nuts_trail_mix,2024-01-07,545,0,Available
Store_006,cookies,2024-01-07,211,0,Available
Store_006,chocolates,2024-01-07,355,0,Available
Store_006,carbonated_soft_drinks,2024-01-07,411,0,Available
Store_006,bottled_water,2024-01-07,0,520,Zero
