PurchaseOrderNumber,LineNumber,SiteCode,ItemCode,NeedQuantity,OrderQuantity,UOM
PO_2024-W08_DC_02_SUP_002,1,DC_02,ITEM_0001,62,96,EA
PO_2024-W09_DC_01_SUP_002,1,DC_01,ITEM_0001,2414,2448,EA
PO_2024-W09_DC_02_SUP_002,1,DC_02,ITEM_0001,3186,3216,EA
PO_2024-W10_DC_01_SUP_002,1,DC_01,ITEM_0001,3344,3360,EA
PO_2024-W10_DC_02_SUP_002,1,DC_02,ITEM_0001,3090,3120,EA
PO_2024-W11_DC_01_SUP_002,1,DC_01,ITEM_0001,3456,3504,EA
PO_2024-W11_DC_02_SUP_002,1,DC_02,ITEM_0001,3273,3312,EA
PO_2024-W12_DC_01_SUP_002,1,DC_01,ITEM_0001,2901,2928,EA
PO_2024-W12_DC_02_SUP_002,1,DC_02,ITEM_0001,123,144,EA
PO_2024-W13_DC_01_SUP_002,1,DC_01,ITEM_0001,3178,3216,EA
PO_2024-W13_DC_02_SUP_002,1,DC_02,ITEM_0001,6252,6288,EA
PO_2024-W14_DC_01_SUP_002,1,DC_01,ITEM_0001,3165,3168,EA
PO_2024-W15_DC_01_SUP_002,1,DC_01,ITEM_0001,3202,3216,EA
PO_2024-W15_DC_02_SUP_002,1,DC_02,ITEM_0001,3338,3360,EA
PO_2024-W16_DC_01_SUP_002,1,DC_01,ITEM_0001,3381,3408,EA
PO_2024-W16_DC_02_SUP_002,1,DC_02,ITEM_0001,72,96,EA
PO_2024-W17_DC_01_SUP_002,1,DC_01,ITEM_0001,3111,3120,EA
PO_2024-W17_DC_02_SUP_002,1,DC_02,ITEM_0001,93,96,EA
PO_2024-W18_DC_01_SUP_002,1,DC_01,ITEM_0001,3199,3216,EA
PO_2024-W18_DC_02_SUP_002,1,DC_02,ITEM_0001,6295,6336,EA
PO_2024-W19_DC_01_SUP_002,1,DC_01,ITEM_0001,3420,3456,EA
PO_2024-W19_DC_02_SUP_002,1,DC_02,ITEM_0001,3489,3504,EA
PO_2024-W20_DC_01_SUP_002,1,DC_01,ITEM_0001,2985,3024,EA
PO_2024-W21_DC_01_SUP_002,1,DC_01,ITEM_0001,3241,3264,EA
PO_2024-W22_DC_01_SUP_002,1,DC_01,ITEM_0001,3507,3552,EA
PO_2024-W22_DC_02_SUP_002,1,DC_02,ITEM_0001,6354,6384,EA
PO_2024-W23_DC_01_SUP_002,1,DC_01,ITEM_0001,3058,3072,EA
PO_2024-W24_DC_01_SUP_002,1,DC_01,ITEM_0001,5027,5040,EA
PO_2024-W24_DC_02_SUP_002,1,DC_02,ITEM_0001,3411,3456,EA
PO_2024-W25_DC_01_SUP_002,1,DC_01,ITEM_0001,3042,3072,EA
PO_2024-W26_DC_01_SUP_002,1,DC_01,ITEM_0001,3074,3120,EA
